Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Aplodinotus grunniens,Freshwater drum,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,0.937,15.906,NA,NA,NA,Howland et al. 2004,,,Aplodinotus_grunniens,
Balistes capriscus,Grey triggerfish,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,0.295,12.529,NA,NA,NA,Howland et al. 2004,,,Balistes_capriscus,
Callionymus lyra,Dragonet,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,0.535,3.6,NA,NA,NA,Howland et al. 2004,,,Callionymus_lyra,
Carangoides bartholomaei,Yellow jack,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,4.812,22.775,NA,NA,NA,Howland et al. 2004,,,Carangoides_bartholomaei,
Caranx hippos,Crevallejack,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,2.305,26.878,NA,NA,NA,Howland et al. 2004,,,Caranx_hippos,
Carassius auratus,Goldfish,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,0.0108,3.456,NA,NA,NA,Howland et al. 2004,,,Carassius_auratus,
Coregonus clupeaformis,Lake whitefish,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,0.7726,11.377,NA,NA,NA,Howland et al. 2004,,,Coregonus_clupeaformis,
Coryphaena hippurus,Common dolphinfish,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,19.04,33.427,NA,NA,NA,Howland et al. 2004,,,Coryphaena_hippurus,
Cyprinus carpio,Common carp,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,1.051,12.07,NA,NA,NA,Howland et al. 2004,,,Cyprinus_carpio,
Epinephelus itajara,Itajara,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,32.89,26.972,NA,NA,NA,Howland et al. 2004,,,Epinephelus_itajara,
Erpetoichthys calabaricus,Reedfish,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,non-teleost fishes,0.568,2.25,NA,NA,NA,Howland et al. 2004,,,Erpetoichthys_calabaricus,
Esox lucius,Northern pike,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,"teleost fishes, acanthomorph fishes",0.363,14.204,NA,NA,NA,Howland et al. 2004,,,Esox_lucius,
Euthynnus alletteratus,Little tunny,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,teleost fishes,6.291,27.025,NA,NA,NA,Howland et al. 2004,,,Euthynnus_alletteratus,
Gadus ogac,Greenland cod,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,2.5715,25.022,NA,NA,NA,Howland et al. 2004,,,Gadus_ogac,
Gymnothorax funebris,Green moray,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,3.51,9.338,NA,NA,NA,Howland et al. 2004,,,NA,Gymnothorax_nudivomer
Haemulon plumieri,Grunt,Fishes (Actinopterygii),ray-finned fishes,Actinopterygii,,0.3,13.778,NA,NA,NA,Howland et al. 2004,,,Haemulon_plumierii,
